ranked languages,root language,second language,word,word count
,,,pianola,5
,,,pieces,5
,,,piled,5
,,,pins,5
,,,pisser,5
"Old French,Latin,Greek,French",Old French,Latin,planet,5
"Greek,Old French,French",Greek,Old French,plant,5
,,,plumtree,5
"French,Old French,Greek",French,Old French,poetry,5
French,French,,poison,5
,,,policeman,5
,,,pop,5
,,,port,5
,,,postoffice,5
"French,Greek,Old French",French,Greek,posture,5
,,,pots,5
,,,prepared,5
"Old French,French",Old French,French,pressure,5
,,,presumably,5
"French,Old French,Sanskrit,Norse,Latin,Greek",French,Old French,print,5
"French,Old French",French,Old French,proof,5
,,,properly,5
"French,Old French",French,Old French,proportion,5
,,,propped,5
"French,Old French,Sanskrit,Greek,Latin",French,Old French,prove,5
,,,provincial,5
"French,Old French",French,Old French,pungent,5
,,,purchased,5
,,,purposes,5
,,,puts,5
,,,pyrrhus,5
"French,Old French,Greek",French,Old French,quart,5
,,,quays,5
French,French,,quest,5
,,,questions,5
,,,r,5
French,French,,range,5
"French,Old French,Greek,Latin",French,Old French,rare,5
,,,rattle,5
,,,reasons,5
,,,recall,5
"Old French,French,Greek,Latin,Sanskrit",Old French,French,recent,5
"French,Old French",French,Old French,redolent,5
,,,ree,5
,,,regarded,5
"French,Old French",French,Old French,region,5
"French,Greek,Old French",French,Greek,relief,5
,,,remarked,5
"French,Old French",French,Old French,remedy,5
,,,reminds,5
"French,Old French",French,Old French,remote,5
,,,render,5
,,,rendering,5
,,,reply,5
French,French,,respective,5
,,,roaring,5
,,,rode,5
,,,rooms,5
"French,Old French",French,Old French,rude,5
"French,Old Norse,Sanskrit,Greek,Norse,Latin,German,Old French",French,Old Norse,ruffian,5
,,,rules,5
,,,rushes,5
"French,Sanskrit,Old French,Latin,Norse,Greek",French,Sanskrit,sacrament,5
,,,sailed,5
"French,Old French,Greek",French,Old French,salmon,5
,,,saluting,5
,,,sandycove,5
"French,Old French",French,Old French,satchel,5
"French,Greek,Old French",French,Greek,satin,5
,,,satisfied,5
,,,sauce,5
,,,sausages,5
French,French,,saviour,5
,,,saxon,5
,,,scenes,5
"French,Old French,Latin,Greek",French,Old French,scorn,5
,,,scratched,5
"French,Old French,Latin,Greek",French,Old French,search,5
French,French,,seaweed,5
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,self,5
,,,senses,5
,,,september,5
,,,serve,5
,,,server,5
,,,seymour,5
,,,shapely,5
French,French,,shave,5
,,,shaved,5
,,,shaving,5
,,,sheehy,5
"Sanskrit,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,Old French,sheep,5
,,,shiny,5
,,,shock,5
,,,shouting,5
,,,sideboard,5
,,,sidepocket,5
,,,similarly,5
,,,simultaneously,5
,,,sits,5
,,,skulls,5
,,,slept,5
,,,slipped,5
,,,slops,5
,,,snapped,5
,,,sober,5
French,French,,solid,5
French,French,,somewhat,5
"Germanic,Greek,Norse,Old French,French,Sanskrit,Latin,German,Old Norse",Germanic,Greek,sour,5
,,,sovereigns,5
,,,speaks,5
,,,spite,5
,,,spitting,5
,,,sports,5
"French,Old French",French,Old French,spouse,5
,,,spurned,5
,,,stain,5
,,,stamps,5
,,,stays,5
"French,Old French",French,Old French,steak,5
,,,stephens,5
,,,stopping,5
"German,Greek,Sanskrit,Old French,French,Latin,Old Norse,Norse,Germanic",German,Greek,storm,5
,,,strangers,5
,,,streams,5
,,,strictly,5
,,,strings,5
,,,style,5
,,,subsequently,5
,,,subsheriff,5
"Old French,French,Greek",Old French,French,success,5
,,,suits,5
,,,surely,5
,,,surprised,5
,,,swallowed,5
,,,swindle,5
,,,swung,5
,,,symbols,5
,,,synge,5
,,,tables,5
,,,taught,5
,,,taylor,5
"French,Greek,Old French,Latin",French,Greek,temperance,5
"French,Old French",French,Old French,terrace,5
French,French,,terrestrial,5
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,thence,5
"Latin,French,Old French,Greek",Latin,French,thirst,5
,,,throb,5
,,,ticket,5
,,,tickled,5
,,,tipped,5
,,,torn,5
,,,transmitted,5
French,French,,transparent,5
"French,Sanskrit,Old French,Norse,Greek,Latin",French,Sanskrit,treasure,5
French,French,,treble,5
,,,tugged,5
,,,type,5
,,,uncertainly,5
,,,united,5
"French,Old French",French,Old French,universal,5
"French,Old French,Latin,Sanskrit,Greek",French,Old French,university,5
,,,upstairs,5
,,,upturned,5
,,,urged,5
"French,Old French",French,Old French,vague,5
"French,Greek,Old French",French,Greek,valise,5
"French,Old French,Greek",French,Old French,vessel,5
"French,Old French,Greek",French,Old French,vicinity,5
French,French,,vitality,5
,,,void,5
,,,waits,5
,,,walter,5
,,,warily,5
French,French,,warning,5
,,,waved,5
"Old French,Greek,French",Old French,Greek,weeping,5
,,,wheel,5
,,,wheeled,5
,,,whenever,5
,,,wheres,5
,,,whiff,5
,,,winked,5
,,,wiping,5
,,,wire,5
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,wit,5
French,French,,witty,5
,,,worship,5
,,,writes,5
"Greek,Latin,French,Old French",Greek,Latin,yeoman,5
,,,youd,5
,,,—all,5
,,,—certainly,5
,,,—go,5
,,,—half,5
,,,—just,5
,,,—now,5
,,,—one,5
,,,—quite,5
,,,—so,5
,,,—some,5
,,,—thanks,5
,,,17,4
,,,1892,4
,,,22,4
,,,23,4
,,,27,4
,,,30,4
French,French,,abroad,4
"French,Greek,Old French",French,Greek,academy,4
"French,Old French",French,Old French,accept,4
,,,access,4
French,French,,acquaintance,4
,,,acquaintances,4
"French,Old French",French,Old French,acquisition,4
French,French,,adduce,4
French,French,,adjacent,4
"French,Old French",French,Old French,admiration,4
"French,Old French",French,Old French,advantage,4
,,,advantages,4
,,,affirmed,4
,,,aforesaid,4
,,,airs,4
"French,Greek,Old French",French,Greek,alacrity,4
,,,alameda,4
,,,albert,4
"Old French,Greek,French",Old French,Greek,allow,4
"Norse,Sanskrit,Latin,Old French,French,Greek",Norse,Sanskrit,almighty,4
"French,Old French",French,Old French,altercation,4
"French,Old French",French,Old French,ample,4
"Greek,Old French,Latin,French",Greek,Old French,anchor,4
French,French,,anticipation,4
,,,antique,4
,,,apjohn,4
French,French,,apparel,4
"French,Old French",French,Old French,apparition,4
French,French,,appeal,4
,,,approached,4
,,,approaching,4
"French,Old French",French,Old French,apron,4
,,,arrah,4
French,French,,arrangement,4
,,,arrested,4
,,,arthur,4
"French,Old French",French,Old French,artificial,4
,,,asks,4
French,French,,aspect,4
,,,attached,4
,,,attended,4
French,French,,attractive,4
French,French,,awake,4
"French,Old French",French,Old French,ballad,4
,,,bannon,4
French,French,,barefoot,4
French,French,,bargain,4
,,,barracks,4
"Old French,French",Old French,French,barrel,4
,,,barreltone,4
,,,barry,4
"French,Old French,Sanskrit,Latin,Greek",French,Old French,basket,4
"Greek,Latin,French,Old French",Greek,Latin,bat,4
,,,bawn,4
,,,beaufoy,4
"Latin,Old Norse,Old French,French,German,Greek,Norse,Sanskrit",Latin,Old Norse,beaver,4
,,,became,4
,,,bedroom,4
"Greek,Latin,Old French,Old Norse,French,Norse,Sanskrit",Greek,Latin,bee,4
,,,beerpull,4
,,,beheld,4
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,behold,4
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,belief,4
,,,bellingham,4
French,French,,bib,4
,,,bible,4
"Greek,Old French,French",Greek,Old French,biddy,4
"German,Latin,Old French,French,Greek,Sanskrit,Old Norse,Norse",German,Latin,bier,4
French,French,,bitterness,4
,,,bloo,4
,,,blunt,4
,,,boats,4
,,,bodily,4
,,,boiled,4
"French,Old French",French,Old French,bone,4
,,,boomed,4
,,,borne,4
,,,boss,4
,,,bowing,4
,,,braided,4
,,,branded,4
French,French,,brazier,4
"Old French,Greek,French",Old French,Greek,breach,4
,,,breasts,4
,,,breathing,4
,,,brew,4
"French,Greek,Old French",French,Greek,brilliant,4
,,,brim,4
,,,britain,4
,,,brunswick,4
,,,bullockbefriending,4
,,,bulls,4
,,,bunch,4
,,,bundle,4
,,,burned,4
,,,burns,4
,,,burton,4
,,,burying,4
"Old French,French",Old French,French,bust,4
,,,bye,4
,,,calmer,4
,,,calmly,4
,,,calves,4
,,,camden,4
,,,canada,4
French,French,,candour,4
"French,Old French",French,Old French,cape,4
"French,Old French",French,Old French,cardinal,4
,,,carey,4
"French,Old French",French,Old French,carnal,4
,,,carpet,4
,,,carriages,4
"French,Greek,Sanskrit,Latin,Old French",French,Greek,cash,4
"French,Old French",French,Old French,casual,4
,,,causes,4
French,French,,cease,4
"French,Old French,Norse,Sanskrit,Greek,Latin,Old Norse,German",French,Old French,celestial,4
,,,centre,4
,,,cf,4
"French,Greek,Old French,Latin",French,Greek,chalice,4
,,,champing,4
,,,changes,4
,,,chaps,4
,,,chat,4
"French,Old French",French,Old French,chord,4
,,,circles,4
,,,circumstances,4
"Old French,French",Old French,French,circus,4
French,French,,civic,4
,,,clacked,4
,,,clare,4
"French,Old French,Latin,Greek",French,Old French,class,4
,,,clattering,4
,,,clergyman,4
,,,climbed,4
,,,clongowes,4
,,,closing,4
,,,cobblestones,4
,,,cochrane,4
,,,coils,4
,,,colleen,4
"French,Old French",French,Old French,collision,4
"French,Old French",French,Old French,comfort,4
"French,Old French",French,Old French,committee,4
,,,concealed,4
,,,confirmed,4
"French,Old French,Latin,Greek",French,Old French,connection,4
,,,conroy,4
,,,considerations,4
"French,Old French",French,Old French,consolation,4
,,,constancy,4
,,,constructed,4
"French,Old French",French,Old French,contemplation,4
"French,Old French",French,Old French,continue,4
"French,Old French",French,Old French,conversation,4
,,,cook,4
"Sanskrit,Old French,French,Latin,Greek",Sanskrit,Old French,cooper,4
"German,Old Norse,Sanskrit,Norse,Old French,French,Latin,Greek",German,Old Norse,copper,4
"French,Old French",French,Old French,copy,4
,,,corpses,4
"French,Greek,Old French",French,Greek,corridor,4
,,,costello,4
,,,cosy,4
,,,coughing,4
,,,cover,4
"Greek,Old French,French",Greek,Old French,cradle,4
,,,crates,4
,,,creaked,4
"French,Old French,Greek",French,Old French,creation,4
,,,crimmins,4
,,,crossblind,4
,,,crotthers,4
,,,cured,4
,,,customhouse,4
,,,cuts,4
"French,Old French",French,Old French,dairy,4
,,,daly,4
,,,dawn,4
"French,Greek,Old French,Latin",French,Greek,dean,4
,,,dearest,4
,,,december,4
French,French,,decline,4
,,,deeds,4
,,,delightful,4
,,,departed,4
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,depth,4
French,French,,derby,4
,,,descended,4
"French,Old French",French,Old French,description,4
French,French,,destination,4
,,,determined,4
,,,developed,4
,,,differences,4
French,French,,diffusion,4
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,dim,4
"Old French,French",Old French,French,diner,4
,,,dingy,4
"French,Sanskrit,Greek,Old French,Latin",French,Sanskrit,dirt,4
"French,Old French,Greek",French,Old French,discussion,4
"French,Old French,Greek",French,Old French,disturb,4
,,,divided,4
,,,dlugacz,4
,,,doctors,4
,,,dodge,4
,,,doffed,4
,,,dogsbody,4
,,,don't,4
,,,doubly,4
,,,dragging,4
,,,drawingroom,4
"Old French,French",Old French,French,dreamy,4
,,,dressy,4
"Old French,Norse,Sanskrit,French,Latin,Greek",Old French,Norse,drift,4
,,,driscoll,4
"Old Norse,Norse,Old French,French,Latin,Greek,Sanskrit",Old Norse,Norse,drive,4
"French,Sanskrit,Latin,Greek,Old French",French,Sanskrit,droll,4
,,,drouth,4
,,,drugs,4
,,,drums,4
,,,drunks,4
,,,dudley,4
"Old French,Greek,Latin,French",Old French,Greek,dusk,4
"Latin,Greek,Old French,French",Latin,Greek,earl,4
French,French,,earthly,4
,,,easter,4
,,,ee,4
"French,Greek,Old French,Sanskrit,Latin",French,Greek,elastic,4
French,French,,elder,4
,,,endearing,4
"French,Greek,Old French,Latin",French,Greek,energy,4
,,,enjoyed,4
,,,eons,4
"French,Old French,Greek",French,Old French,equanimity,4
,,,errors,4
,,,essex,4
"French,Old French,Greek",French,Old French,eternity,4
"French,Old French",French,Old French,event,4
,,,everyman,4
"French,Old French",French,Old French,excessive,4
,,,exemplars,4
"French,Old French",French,Old French,exhibition,4
,,,explaining,4
,,,expressions,4
French,French,,extinction,4
,,,faced,4
,,,fag,4
French,French,,faintly,4
French,French,,faithful,4
,,,falls,4
,,,families,4
"French,Old French",French,Old French,farewell,4
French,French,,farm,4
French,French,,fascination,4
,,,fathers,4
,,,feelings,4
,,,feels,4
"Latin,Norse,Old Norse,French,Greek,Old French,Sanskrit",Latin,Norse,fifth,4
,,,fighting,4
,,,files,4
,,,finished,4
,,,fires,4
,,,firmly,4
,,,fitted,4
,,,flashed,4
,,,flashing,4
French,French,,fleet,4
French,French,,fleeting,4
French,French,,float,4
,,,floats,4
"Sanskrit,French,Latin,Greek,Old French",Sanskrit,French,flora,4
,,,flowed,4
"English,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",English,German,folk,4
"French,Old French,Greek",French,Old French,foreign,4
"Old French,Latin,French,Greek",Old French,Latin,foresee,4
,,,forgetting,4
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,forgive,4
"Norse,Sanskrit,French,Old French,Greek,Latin",Norse,Sanskrit,forty,4
French,French,,fowl,4
,,,frankly,4
"French,Greek,Old French",French,Greek,frequent,4
"French,Old Norse,Latin,Greek,Old French,Sanskrit,Norse",French,Old Norse,frock,4
,,,fruits,4
,,,fumes,4
"French,Greek,Old French",French,Greek,fury,4
"French,Old French",French,Old French,gait,4
,,,gaping,4
,,,gara,4
French,French,,garment,4
,,,garments,4
,,,garters,4
,,,gathered,4
,,,gazing,4
"French,Old French",French,Old French,generous,4
"Old French,French",Old French,French,gentile,4
,,,geraghty,4
"French,Greek,Old French,Latin",French,Greek,giant,4
"Old French,Greek,French",Old French,Greek,gin,4
French,French,,gladly,4
,,,glasnevin,4
,,,glistening,4
"French,Old French",French,Old French,globe,4
,,,gloved,4
"Greek,Old French,Old Norse,Norse,Latin,French,Sanskrit",Greek,Old French,gospel,4
"French,Old French",French,Old French,governor,4
"French,Greek,Old French",French,Greek,gown,4
,,,grade,4
French,French,,gradual,4
French,French,,grant,4
,,,greater,4
,,,greed,4
,,,griffith,4
,,,grog,4
,,,grows,4
French,French,,guide,4
,,,gumley,4
,,,gunrest,4
,,,gurgling,4
"Old Norse,Norse,Latin,Old French,French,Greek,Sanskrit",Old Norse,Norse,hag,4
"French,Greek,Old French",French,Greek,hail,4
"Old French,French",Old French,French,hang,4
,,,hanged,4
,,,hardwicke,4
French,French,,harness,4
"French,Old French,Greek",French,Old French,haste,4
French,French,,hatred,4
,,,headband,4
"Old French,French,Greek",Old French,French,hearse,4
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,hearth,4
,,,heartily,4
French,French,,heavenly,4
,,,heigho,4
,,,hereby,4
French,French,,hereditary,4
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin,German",Old Norse,Norse,herring,4
,,,hid,4
,,,highest,4
"Old French,French",Old French,French,hoard,4
,,,holes,4
"Old French,French",Old French,French,holiday,4
,,,holohan,4
,,,horns,4
French,French,,horrid,4
,,,hose,4
,,,howard,4
,,,humane,4
,,,humour,4
,,,hungary,4
,,,hurried,4
,,,hurrying,4
French,French,,hush,4
,,,idle,4
French,French,,idly,4
,,,ignatius,4
,,,ignited,4
"French,Old French",French,Old French,imitation,4
"Greek,French,Old French",Greek,French,immaculate,4
"French,Old French",French,Old French,immediate,4
"French,Old French",French,Old French,immense,4
"French,Old French",French,Old French,imperial,4
,,,implements,4
"French,Old French",French,Old French,impossible,4
,,,inasmuch,4
French,French,,inaugurate,4
"French,Old French,Greek",French,Old French,incertitude,4
French,French,,incomplete,4
,,,increasing,4
,,,india,4
"French,Greek,Old French",French,Greek,infinity,4
"French,Greek,Old French",French,Greek,ingress,4
,,,initialled,4
"French,Old French",French,Old French,innocent,4
,,,insides,4
"French,Old French",French,Old French,inspection,4
,,,instalments,4
French,French,,instinct,4
,,,intended,4
"French,Old French",French,Old French,intercourse,4
,,,intermediate,4
French,French,,international,4
"French,Old French",French,Old French,interrogation,4
,,,intervals,4
,,,inventions,4
,,,inverted,4
,,,inward,4
French,French,,inwit,4
,,,irregular,4
"French,Old French,Greek",French,Old French,isle,4
French,French,,jaunty,4
,,,jerks,4
,,,jerusalem,4
French,French,,jest,4
"French,Old French",French,Old French,jet,4
,,,jumped,4
"French,Old French",French,Old French,jury,4
,,,kavanagh,4
,,,kevin,4
,,,keyboard,4
,,,kicking,4
,,,kids,4
French,French,,kindly,4
,,,kings,4
,,,kingstown,4
,,,knight,4
,,,knives,4
French,French,,knowledge,4
,,,kock,4
,,,labour,4
French,French,,ladylike,4
,,,lands,4
"Greek,Old French,French",Greek,Old French,lather,4
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,leap,4
,,,learningknight,4
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,lee,4
"French,Old French",French,Old French,legend,4
,,,leo,4
French,French,,lest,4
"French,Old French",French,Old French,liberty,4
,,,licensed,4
,,,lick,4
"Latin,Greek,Old Norse,Old French,French,Norse,Sanskrit",Latin,Greek,lid,4
French,French,,lieutenant,4
,,,lighted,4
"Old Norse,Norse,Latin,Sanskrit,Old French,French,Greek",Old Norse,Norse,linen,4
"French,Old French,Old Norse,Norse,Sanskrit,Latin,Greek",French,Old French,livid,4
,,,loop,4
"Old French,French",Old French,French,lough,4
French,French,,lover,4
"French,Old French,Greek",French,Old French,loyal,4
French,French,,luminous,4
"German,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Old Norse,lust,4
"French,Sanskrit,Old French,Old Norse,Norse,Greek,Latin",French,Sanskrit,machine,4
,,,machines,4
,,,magee,4
,,,maginni,4
French,French,,magnitude,4
,,,maidenhair,4
,,,males,4
"Norse,French,Old French,Sanskrit,German,Old Norse,Latin,Greek",Norse,French,mamma,4
,,,maria,4
"French,Old French,Sanskrit,Old Norse,Norse,Latin,Greek",French,Old French,marry,4
,,,mashed,4
"French,Greek,Latin,Sanskrit,Old French",French,Greek,mattress,4
French,French,,mature,4
"French,Old French",French,Old French,maturity,4
French,French,,matutinal,4
,,,meals,4
,,,meanwhile,4
,,,measured,4
"Old French,French",Old French,French,melt,4
,,,merely,4
,,,merrion,4
"French,Old French,Greek",French,Old French,message,4
"Old French,French,Greek",Old French,French,messiah,4
"Old French,French",Old French,French,metempsychosis,4
"Old French,French,Greek",Old French,French,mien,4
"Sanskrit,French,Greek,Old French,Latin",Sanskrit,French,mighty,4
,,,minds,4
"French,Old French",French,Old French,mineral,4
,,,missed,4
,,,mister,4
,,,mob,4
French,French,,mockery,4
,,,mona,4
,,,monkeys,4
,,,monks,4
,,,moore,4
"Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Old Norse,Old French,morn,4
,,,mountjoy,4
,,,moustachecup,4
French,French,,mug,4
,,,multicoloured,4
,,,multiplied,4
"French,Old French,Greek,Latin",French,Old French,murderer,4
"French,Latin,Old French,Greek",French,Latin,murmur,4
"French,Old French",French,Old French,mustard,4
,,,muttered,4
French,French,,mysterious,4
,,,nagle,4
"French,Old French",French,Old French,narration,4
French,French,,native,4
,,,needless,4
,,,nervously,4
"German,Old Norse,Latin,Norse,Old French,French,Germanic,Greek,Sanskrit",German,Old Norse,net,4
"Germanic,German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,English",Germanic,German,nether,4
,,,newcomen,4
,,,newsboy,4
"Greek,Old French,French",Greek,Old French,nightmare,4
French,French,,ninth,4
,,,noisy,4
"Old French,French",Old French,French,notion,4
"Sanskrit,Old French,Greek,French,Old Norse,Latin,Norse",Sanskrit,Old French,nun,4
,,,nymphs,4
French,French,,o'clock,4
,,,o'reilly,4
"Greek,German,Old French,French,Germanic,Latin,Sanskrit,Old Norse,Norse",Greek,German,oath,4
"French,Old French",French,Old French,obedient,4
"French,Old French",French,Old French,obscurity,4
French,French,,observation,4
"French,Old French",French,Old French,obtain,4
,,,occasions,4
,,,october,4
"Greek,Old French,French",Greek,Old French,opera,4
,,,opinions,4
"French,Old French",French,Old French,opportunity,4
"French,Old French",French,Old French,opulent,4
"French,Old Norse,Old French,Norse,Germanic,Latin,Sanskrit,German,Greek",French,Old Norse,orange,4
"French,Old French",French,Old French,ordinary,4
,,,organism,4
"French,Old French",French,Old French,origin,4
,,,originally,4
,,,outrage,4
,,,ow,4
"Old Norse,Norse,Latin,Sanskrit,Old French,French,Greek",Old Norse,Norse,owe,4
,,,palmerston,4
,,,palpably,4
"French,Greek,Old French,Latin",French,Greek,pane,4
,,,papli,4
"French,Greek,Old French,Norse,Sanskrit,Latin",French,Greek,paradise,4
,,,parcels,4
"French,Old French",French,Old French,partial,4
,,,parties,4
,,,passages,4
"French,Old French",French,Old French,passive,4
"French,Old French",French,Old French,pause,4
,,,paying,4
"French,Old French",French,Old French,peasant,4
,,,peep,4
,,,peeping,4
"French,Greek,Old French,Sanskrit,Latin",French,Greek,peril,4
,,,persons,4
,,,petticoats,4
,,,pflaap,4
"Old French,French",Old French,French,pile,4
,,,pillars,4
,,,pills,4
French,French,,pineapple,4
,,,pinned,4
,,,piped,4
,,,plans,4
,,,plates,4
,,,playfield,4
"Old French,French",Old French,French,plot,4
,,,plucked,4
,,,plume,4
,,,poetical,4
,,,poisoned,4
,,,popped,4
,,,positive,4
"French,Old French",French,Old French,possession,4
,,,potted,4
French,French,,powder,4
,,,powerful,4
,,,practices,4
"French,Old French,Greek",French,Old French,prefer,4
French,French,,preparation,4
"French,Old French",French,Old French,probability,4
,,,produce,4
"French,Old French",French,Old French,production,4
"French,Old French,Greek",French,Old French,profit,4
,,,projected,4
,,,prolonged,4
"French,Greek,Old French,Latin",French,Greek,property,4
"French,Old French",French,Old French,prospectus,4
"French,Old French",French,Old French,proximity,4
,,,publichouse,4
French,French,,puck,4
,,,pump,4
,,,punch,4
"French,Old French",French,Old French,punish,4
French,French,,punishment,4
"French,Old French",French,Old French,purgatory,4
"French,Greek,Old French",French,Greek,quality,4
"Old French,French",Old French,French,raise,4
"French,Greek,Old French",French,Greek,ramp,4
,,,rank,4
,,,raoul,4
"French,Greek,Old French",French,Greek,rapid,4
"French,Old French",French,Old French,rational,4
,,,rattling,4
"French,Old French",French,Old French,reality,4
,,,rebel,4
"French,Old French",French,Old French,recipe,4
French,French,,recognise,4
,,,rectly,4
,,,reggy,4
French,French,,regret,4
"French,Old French",French,Old French,reign,4
,,,reins,4
,,,rejoined,4
,,,relish,4
,,,remembering,4
,,,reminded,4
,,,respectively,4
,,,responded,4
"French,Old French",French,Old French,response,4
,,,resting,4
,,,resumed,4
,,,retrospective,4
,,,rhododendrons,4
,,,richmond,4
"French,Greek,Old French,Sanskrit,Latin",French,Greek,rid,4
"Old French,French",Old French,French,ride,4
,,,rises,4
"Latin,Old French,French,Greek",Latin,Old French,rite,4
,,,rivers,4
"Old Norse,Sanskrit,Latin,French,Greek,Old French,Norse",Old Norse,Sanskrit,roar,4
French,French,,robber,4
,,,robbing,4
"Old French,French",Old French,French,rogue,4
,,,rome,4
"Old French,French",Old French,French,rosary,4
,,,roundtown,4
"Greek,Old French,French",Greek,Old French,rover,4
,,,ruined,4
"Greek,Latin,Old French,French",Greek,Latin,rump,4
,,,runaway,4
"Latin,French,Greek,Old French",Latin,French,rusty,4
,,,sable,4
"French,Old French",French,Old French,safety,4
,,,sailors,4
,,,saints,4
,,,sargent,4
,,,satiny,4
,,,scanned,4
,,,scattered,4
,,,scholars,4
,,,schoolboy,4
"Old French,French",Old French,French,scratch,4
,,,scribbled,4
,,,secondhand,4
French,French,,security,4
"French,Old French",French,Old French,sensation,4
"French,Old French",French,Old French,sensitive,4
,,,sentry,4
,,,sentrybox,4
"Old French,French,Greek",Old French,French,serene,4
"French,Old French,Latin,Greek",French,Old French,serious,4
"Greek,Old French,French",Greek,Old French,settle,4
French,French,,sex,4
,,,shadows,4
,,,shaky,4
,,,sham,4
,,,shapes,4
"Latin,French,Greek,Old French",Latin,French,shelf,4
"Greek,Old Norse,Old French,French,Latin,Norse,Sanskrit",Greek,Old Norse,shield,4
,,,shirtsleeves,4
French,French,,shoe,4
French,French,,shortly,4
,,,shouts,4
,,,shower,4
,,,shreds,4
,,,shrewd,4
"French,Old French",French,Old French,significance,4
,,,single,4
"French,Old French,Greek",French,Old French,singular,4
,,,sinned,4
,,,skin-the-goat,4
,,,skirts,4
,,,slanted,4
,,,slaves,4
"Old French,French",Old French,French,sleepy,4
,,,sliding,4
,,,slipping,4
,,,smaller,4
,,,smelling,4
,,,smiles,4
,,,smothered,4
"Norse,French,Latin,Sanskrit,Greek,Old French",Norse,French,snout,4
,,,snuffling,4
"Old French,French",Old French,French,sock,4
,,,socks,4
,,,socrates,4
"Old French,Greek,French",Old French,Greek,soda,4
"Old French,French",Old French,French,sofa,4
"French,Old French",French,Old French,solar,4
,,,solemnly,4
"French,Old French",French,Old French,somnolent,4
,,,songs,4
"Old French,French",Old French,French,spare,4
"Old French,French",Old French,French,spat,4
"German,Greek,Old Norse,Old French,French,Latin,Sanskrit,Norse",German,Greek,spear,4
"French,Old French,Greek",French,Old French,speck,4
"French,Old French",French,Old French,spectacle,4
,,,spent,4
,,,spinoza,4
French,French,,spit,4
French,French,,splendour,4
"French,Greek,Old French",French,Greek,sport,4
French,French,,spur,4
"French,Latin,Old French,Greek",French,Latin,squad,4
,,,squat,4
French,French,,stable,4
"Greek,Old French,French",Greek,Old French,steadfast,4
"Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",Latin,Old Norse,steal,4
French,French,,sticky,4
,,,stink,4
"Sanskrit,Old French,French,Latin,Greek",Sanskrit,Old French,stir,4
"Old Norse,Latin,Sanskrit,Old French,French,Greek,Norse",Old Norse,Latin,stool,4
,,,stooped,4
,,,strawberries,4
,,,striped,4
,,,stripped,4
French,French,,strongly,4
"French,Old French",French,Old French,stubble,4
,,,studies,4
"Old French,French",Old French,French,stump,4
"French,Old French,Greek",French,Old French,suffer,4
"French,Old French",French,Old French,sufficient,4
,,,sunk,4
"Old French,French",Old French,French,sunny,4
"French,Old French",French,Old French,supple,4
,,,supply,4
,,,suspect,4
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse,Germanic",Sanskrit,German,swear,4
,,,sweating,4
French,French,,swelling,4
,,,swerved,4
,,,swinging,4
,,,switch,4
"French,Greek,Old French",French,Greek,symmetry,4
"Old French,French,Greek",Old French,French,sympathetic,4
"French,Latin,Old French,Greek",French,Latin,tailor,4
"Latin,Greek,Old French,French",Latin,Greek,tankard,4
,,,tankards,4
"Greek,Old French,French",Greek,Old French,teach,4
,,,teas,4
,,,telescope,4
,,,tempting,4
"French,Old French",French,Old French,tennis,4
"French,Old French,Sanskrit,Latin,Greek",French,Old French,tepid,4
,,,thanked,4
"Greek,French,Old French",Greek,French,thereto,4
"Germanic,American English,Sanskrit,Norse,Old French,French,Old English,English,Greek,Latin,German,Old Norse",Germanic,American English,thigh,4
,,,thighs,4
"Latin,Greek,Old French,French",Latin,Greek,thither,4
,,,thoroughfare,4
,,,thoroughly,4
,,,throwaway,4
,,,throwing,4
,,,thumbnail,4
,,,thump,4
"English,German,Greek,Old Norse,Old French,French,Latin,Norse,Sanskrit,Germanic",English,German,thunder,4
"Old French,French,Greek,Latin,Norse,Sanskrit",Old French,French,thus,4
,,,tickets,4
,,,toast,4
,,,toff,4
,,,tracks,4
,,,tramline,4
,,,tramp,4
French,French,,tranquil,4
French,French,,transit,4
,,,tread,4
,,,treated,4
,,,trilling,4
"French,Latin,Greek,Old French",French,Latin,trot,4
,,,truest,4
"French,Old French,Greek",French,Old French,trunk,4
