ranked languages,root language,second language,word,word count
"Greek,Old French,French",Greek,Old French,health,5
,,,hearing,5
,,,heartily,5
,,,hers,5
"French,Greek,Old French,Latin",French,Greek,history,5
"French,Old French",French,Old French,honest,5
,,,hungarian,5
,,,hurried,5
,,,idle,5
"French,Old French",French,Old French,imagination,5
"French,Old French",French,Old French,instant,5
"Greek,Old French,French",Greek,Old French,instead,5
French,French,,instinct,5
"French,Old French",French,Old French,interval,5
French,French,,invalid,5
,,,jesuits,5
"French,Old French,Greek",French,Old French,join,5
French,French,,journey,5
,,,jumped,5
,,,keon,5
French,French,,kindly,5
,,,kissed,5
,,,knelt,5
French,French,,lass,5
,,,leaf,5
,,,learned,5
"French,Old French,Greek",French,Old French,lemonade,5
French,French,,lest,5
French,French,,level,5
,,,lonely,5
,,,lost,5
French,French,,lovely,5
,,,makes,5
"Norse,French,Old French,Sanskrit,German,Old Norse,Latin,Greek",Norse,French,mamma,5
"French,Greek,Old French,Sanskrit,Latin",French,Greek,mansion,5
,,,match,5
,,,meaning,5
,,,mentioned,5
,,,mill,5
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,month,5
,,,mood,5
,,,moreover,5
"French,Latin,Old French,Greek",French,Latin,murmur,5
,,,murmured,5
French,French,,mystery,5
,,,neighbours,5
French,French,,nervous,5
,,,next-door,5
,,,nights,5
"French,Old French",French,Old French,opposite,5
,,,orders,5
,,,pages,5
"French,Greek,Old French",French,Greek,paragraph,5
,,,parlour,5
,,,parnell,5
,,,partner,5
"French,Greek,Old French,Latin",French,Greek,passion,5
"Germanic,Greek,German,Old French,English,French,Sanskrit,Latin,Old Norse,Norse",Germanic,Greek,penny,5
French,French,,picture,5
French,French,,pious,5
,,,pockets,5
,,,port,5
"Greek,Old French,Latin,French",Greek,Old French,pride,5
,,,printed,5
,,,promptly,5
"Old French,French",Old French,French,pull,5
,,,pulling,5
,,,purdon,5
,,,purse,5
French,French,,quick,5
"French,Old French,Greek",French,Old French,ragged,5
"French,Old French,Greek",French,Old French,real,5
"French,Old French,Greek,Latin",French,Old French,remain,5
,,,remark,5
"French,Old French",French,Old French,reparation,5
,,,reported,5
,,,retort,5
French,French,,retreat,5
,,,royal,5
French,French,,safe,5
,,,saluted,5
"French,Greek,Old French",French,Greek,scene,5
"French,Old French,Greek",French,Old French,seat,5
"Old French,French,Greek",Old French,French,secretary,5
,,,seized,5
"Latin,Norse,Old French,Germanic,French,Greek,Sanskrit,German,Old Norse",Latin,Norse,send,5
,,,sending,5
"French,Old French",French,Old French,sensation,5
,,,sense,5
,,,shade,5
,,,shaking,5
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,shall,5
"German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse",German,Latin,shame,5
,,,sharp,5
,,,shelves,5
French,French,,sherry,5
,,,sideboard,5
,,,sideways,5
,,,sighed,5
,,,skin,5
"French,Sanskrit,Old French,Greek,Latin",French,Sanskrit,sky,5
,,,slope,5
,,,sober,5
,,,sons,5
French,French,,special,5
,,,spiritual,5
,,,spoken,5
,,,stewards,5
,,,strove,5
,,,suggested,5
"French,Old French",French,Old French,sum,5
,,,swaying,5
,,,sweets,5
,,,swift,5
"French,Greek,Old French,Latin",French,Greek,sympathy,5
,,,tapped,5
,,,taught,5
"French,Latin,Old French,Greek,Sanskrit",French,Latin,tender,5
French,French,,theatre,5
,,,thursday,5
,,,tierney,5
,,,tiptoe,5
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,today,5
French,French,,tomorrow,5
,,,treated,5
,,,trembled,5
"French,Old French",French,Old French,trial,5
,,,tricky,5
"Old French,French",Old French,French,umbrella,5
,,,usually,5
"French,Old French",French,Old French,vague,5
"Latin,Greek,Old French,French",Latin,Greek,verse,5
"Greek,French,Old French,Latin",Greek,French,vulgar,5
"Greek,Latin,Old French,French",Greek,Latin,waist,5
,,,waistcoat,5
,,,wandering,5
,,,wants,5
"Old Norse,Norse,Latin,Sanskrit,Old French,French,Greek",Old Norse,Norse,ward,5
,,,waterproof,5
"English,American English,Latin,German,Old French,French,Old English,Greek,Sanskrit,Old Norse,Norse,Germanic,Welsh",English,American English,weather,5
,,,whatever,5
,,,whipped,5
"Sanskrit,Old Norse,Old French,French,Greek,Latin,Norse",Sanskrit,Old Norse,wide,5
,,,won,5
,,,working-man,5
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,worse,5
,,,accounts,4
French,French,,admit,4
,,,agent,4
"French,Old French",French,Old French,agitation,4
,,,alarmed,4
French,French,,allusion,4
,,,antient,4
"French,Old French",French,Old French,anyhow,4
,,,anywhere,4
,,,appealed,4
"French,Old French",French,Old French,appear,4
French,French,,apple,4
,,,arguing,4
"Old French,French",Old French,French,around,4
French,French,,ashamed,4
French,French,,asleep,4
,,,aughrim,4
"French,Old French",French,Old French,avenue,4
"Norse,Old French,French,Greek,Sanskrit,Latin",Norse,Old French,aware,4
,,,awfully,4
,,,ay,4
"French,Old French,Sanskrit,Latin,Greek",French,Old French,basket,4
"Germanic,German,Norse,Old French,French,Greek,Sanskrit,Latin,Old Norse",Germanic,German,beard,4
,,,beirne,4
,,,belfast,4
,,,biscuits,4
French,French,,blame,4
"Greek,Latin,Old French,Sanskrit,French",Greek,Latin,blast,4
French,French,,bloody,4
,,,blowing,4
,,,blush,4
,,,boarding,4
"Norse,Germanic,Greek,Sanskrit,Old French,French,Latin,Old Norse,German",Norse,Germanic,boat,4
,,,bodley,4
"Latin,Greek,Sanskrit,French,Old French",Latin,Greek,breakfast,4
"French,Greek,Old French",French,Greek,brilliant,4
,,,briton,4
French,French,,bronze,4
,,,brothers,4
,,,brushed,4
,,,built,4
,,,bulk,4
,,,buried,4
"French,Old French,Greek",French,Old French,butcher,4
,,,buttons,4
,,,cakes,4
French,French,,calm,4
"French,Old French,Greek",French,Old French,canal,4
"French,Greek,Old French,Sanskrit,Norse,Latin",French,Greek,card,4
,,,cardboard,4
French,French,,carefully,4
,,,caretaker,4
,,,carrying,4
,,,castle,4
"French,Old French",French,Old French,casual,4
"Irish,German,Old Norse,Latin,Norse,Old French,French,American English,English,Greek,Sanskrit,Old Saxon,Old Irish,Germanic,Welsh,Old English,Old Frisian",Irish,German,cat,4
,,,catching,4
"French,Latin,Greek,Old French",French,Latin,celery,4
,,,centre,4
,,,chairs,4
"French,Greek,Old French,Latin",French,Greek,chalice,4
French,French,,change,4
,,,changing,4
,,,chapelizod,4
,,,cheerfully,4
"Old French,Greek,Norse,Sanskrit,French,Latin",Old French,Greek,cigar,4
,,,cinders,4
,,,circumstances,4
,,,clerks,4
"French,Old French,Greek",French,Old French,cloak,4
,,,closely,4
,,,clouds,4
,,,collected,4
"French,Old French",French,Old French,comfort,4
French,French,,compliment,4
French,French,,conduct,4
,,,control,4
French,French,,correspondence,4
,,,couples,4
"French,Old French,Sanskrit,Latin,Greek",French,Old French,courage,4
,,,courses,4
,,,dance,4
,,,dancing,4
"French,Old French,Greek",French,Old French,danger,4
,,,decanter,4
"French,Old French",French,Old French,dignity,4
,,,disorder,4
,,,divided,4
,,,doctor,4
,,,doorstep,4
"French,Old French",French,Old French,dozen,4
,,,driver,4
"Old French,French",Old French,French,early,4
"French,Old French",French,Old French,education,4
,,,england,4
"French,Old French,Sanskrit,Greek,Latin",French,Old French,enter,4
,,,entertaining,4
,,,ernest,4
,,,examined,4
"French,Old French,Sanskrit,Greek,Latin",French,Old French,excuse,4
"French,Old French",French,Old French,existence,4
"French,Old French",French,Old French,expect,4
"French,Old French,Greek",French,Old French,expense,4
,,,extended,4
,,,faded,4
,,,failed,4
,,,failing,4
,,,faint,4
French,French,,faintly,4
French,French,,farther,4
"French,Old French,Greek",French,Old French,fashion,4
,,,fault,4
,,,fiercely,4
"Old Norse,Germanic,Latin,Norse,French,Old French,Greek,Sanskrit,German",Old Norse,Germanic,fifteen,4
,,,figures,4
French,French,,flat,4
,,,flew,4
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",German,Old Norse,follow,4
,,,forced,4
"French,Old French,Greek",French,Old French,foreign,4
"French,Old French",French,Old French,form,4
"Old French,French",Old French,French,former,4
"French,Old French",French,Old French,fragrance,4
,,,france,4
,,,frowning,4
"Greek,Old French,French",Greek,Old French,further,4
"French,Old French,Greek",French,Old French,future,4
"French,Greek,Sanskrit,Latin,Norse,Old French",French,Greek,gay,4
,,,gesture,4
"French,Old Norse,Old French,German,Greek,Latin,Norse,Sanskrit",French,Old Norse,gift,4
"Greek,Norse,Old French,Old Norse,French,Latin,Sanskrit",Greek,Norse,grass,4
French,French,,growing,4
,,,guineas,4
,,,hallo,4
"Old Norse,Greek,Latin,Old French,French,German,Norse,Sanskrit",Old Norse,Greek,ham,4
,,,handkerchief,4
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,harm,4
,,,hastily,4
,,,hearts,4
French,French,,heavily,4
"Old Norse,Sanskrit,Norse,Old French,French,Greek,Latin",Old Norse,Sanskrit,hell,4
,,,hesitated,4
,,,hid,4
"Old French,French",Old French,French,hogan,4
,,,hungry,4
,,,hurry,4
,,,ideas,4
,,,imagined,4
"French,Old French",French,Old French,impossible,4
"French,Old French",French,Old French,impression,4
"French,Old French",French,Old French,incident,4
"French,Old French,Greek,Latin",French,Old French,interest,4
,,,interested,4
"French,Old French",French,Old French,invitation,4
,,,jesuit,4
French,French,,joke,4
French,French,,judge,4
,,,kingstown,4
,,,labour,4
,,,lamplight,4
"Norse,Old French,Old Norse,French,Greek,Sanskrit,Latin",Norse,Old French,lane,4
"French,Old French,Greek",French,Old French,language,4
,,,latin,4
"French,Greek,Old French,Latin",French,Greek,leg,4
"Greek,Old French,French,Latin,Sanskrit",Greek,Old French,length,4
French,French,,lighting,4
,,,lights,4
"German,Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",German,Old Norse,lip,4
"French,Norse,Greek,Old French,Sanskrit,Latin",French,Norse,loose,4
"Germanic,German,Old Norse,Old French,French,English,Latin,Greek,Norse,Sanskrit",Germanic,German,loud,4
French,French,,lux,4
,,,mac,4
"French,Old French,Latin,Greek",French,Old French,marriage,4
"French,Old French,Sanskrit,Old Norse,Norse,Latin,Greek",French,Old French,marry,4
"French,Old French",French,Old French,master,4
"Norse,Old French,Greek,French,Latin,Sanskrit",Norse,Old French,mat,4
"French,Old French",French,Old French,mayor,4
"French,Old French",French,Old French,means,4
,,,merrion,4
"Norse,Greek,Old French,French,Sanskrit,Latin",Norse,Greek,merry,4
"French,Old French",French,Old French,modern,4
,,,monks,4
"French,Old French",French,Old French,monologue,4
"French,Old French",French,Old French,moral,4
,,,moving,4
French,French,,narrative,4
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,neat,4
"French,Old French,Greek,Sanskrit,German,Old Norse,Norse,Latin",French,Old French,nephew,4
"English,American English,Germanic,Sanskrit,German,Old French,French,Irish,Welsh,Greek,Latin,Old Norse,Norse,Old English",English,American English,nine,4
French,French,,nineteen,4
,,,nuts,4
,,,o'rourke,4
"French,Old French",French,Old French,occasion,4
,,,older,4
French,French,,opening,4
French,French,,original,4
"French,Old French",French,Old French,parcel,4
,,,parker,4
,,,peas,4
"French,Old French",French,Old French,personal,4
,,,phrases,4
,,,pieces,4
,,,plumcake,4
"French,Old French,Greek",French,Old French,poetry,4
"French,Greek,Old French,Latin",French,Greek,police,4
"French,Old French",French,Old French,possession,4
"French,Old French",French,Old French,possible,4
"French,Old French",French,Old French,presence,4
"French,Old French,Greek",French,Old French,press,4
"French,Old French",French,Old French,proper,4
,,,proposed,4
"French,Old French",French,Old French,pulpit,4
,,,putting,4
,,,puzzled,4
,,,quays,4
,,,rattling,4
"French,Old French",French,Old French,receive,4
,,,reflected,4
,,,regretfully,4
,,,regularly,4
,,,remembering,4
French,French,,reputation,4
,,,resented,4
,,,respected,4
,,,respectfully,4
French,French,,return,4
,,,returning,4
"German,Greek,Norse,Old French,French,Old Norse,Latin,Sanskrit,Germanic,English",German,Greek,rich,4
,,,romantic,4
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,roof,4
,,,rough,4
,,,routh,4
"French,Greek,Old French",French,Greek,rub,4
"Old French,French",Old French,French,rush,4
"German,Old Norse,American English,Greek,Norse,Old French,French,English,Sanskrit,Latin,Germanic",German,Old Norse,sad,4
French,French,,sailor,4
,,,screwed,4
,,,secure,4
,,,seems,4
,,,sentence,4
"Greek,Old French,French",Greek,Old French,settle,4
"English,American English,Germanic,Latin,German,Old French,French,Irish,Welsh,Greek,Sanskrit,Old Norse,Norse,Old English",English,American English,seven,4
,,,sh,4
"French,Greek,Old French",French,Greek,shaft,4
,,,shelley,4
,,,shone,4
French,French,,shortly,4
"Greek,Old Norse,Old French,German,French,Latin,Norse,Sanskrit",Greek,Old Norse,shot,4
,,,shoulder,4
French,French,,sick,4
,,,signs,4
"Germanic,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,German,sin,4
French,French,,singer,4
"Latin,Greek,Old French,French",Latin,Greek,sleeve,4
,,,slip,4
French,French,,smart,4
,,,smoothing,4
French,French,,snuff,4
French,French,,snug,4
"French,Old French,Latin,Greek",French,Old French,social,4
"French,Old French,Greek",French,Old French,solemn,4
French,French,,solid,4
,,,somewhere,4
"French,Old French",French,Old French,sort,4
,,,sounded,4
,,,spirits,4
"Old French,French",Old French,French,spring,4
"French,Old French,Greek,Latin",French,Old French,stage,4
,,,start,4
,,,started,4
,,,stated,4
"French,Old French",French,Old French,statue,4
,,,steaming,4
"French,Latin,Greek,Old French",French,Latin,stern,4
French,French,,stone,4
,,,strike,4
"Greek,Old French,French",Greek,Old French,stroke,4
French,French,,strongly,4
French,French,,sunset,4
French,French,,surprise,4
,,,swinging,4
"Latin,Old French,French,Old Norse,Sanskrit,Greek,Norse",Latin,Old French,tale,4
,,,tasted,4
,,,text,4
,,,thickly,4
"Sanskrit,French,Greek,Old French,Latin",Sanskrit,French,thirty,4
,,,thomas,4
,,,threw,4
,,,throw,4
,,,tongues,4
"French,Old French",French,Old French,tradition,4
,,,treat,4
,,,trees,4
"French,Old French,Sanskrit,Latin,Greek",French,Old French,trinity,4
French,French,,understanding,4
"French,Old French,Latin,Sanskrit,Greek",French,Old French,university,4
,,,urged,4
"French,Old French",French,Old French,usual,4
,,,uttered,4
,,,vaguely,4
"French,Old French",French,Old French,vast,4
,,,visiting,4
,,,voices,4
,,,walls,4
"Old Norse,Greek,Norse,Old French,French,Sanskrit,Latin,German",Old Norse,Greek,wash,4
,,,wear,4
"Latin,Old French,French,Greek",Latin,Old French,weary,4
,,,weeks,4
,,,westmoreland,4
,,,wind,4
"Old Norse,Norse,Old French,French,German,Sanskrit,Greek,Latin",Old Norse,Norse,winter,4
,,,worked,4
,,,wouldn't,4
French,French,,abroad,3
"French,Greek,Old French",French,Greek,academy,3
,,,accepted,3
,,,according,3
,,,acting,3
,,,admired,3
,,,advance,3
"French,Old French",French,Old French,advantage,3
,,,adventures,3
"French,Old French",French,Old French,affection,3
"French,Old French",French,Old French,aid,3
"Sanskrit,Latin,Old French,French,Greek,Norse",Sanskrit,Latin,ale,3
"Greek,Old French,French",Greek,Old French,altar,3
,,,altogether,3
,,,amiably,3
,,,amused,3
,,,announced,3
,,,answering,3
,,,answers,3
French,French,,anxious,3
"French,Old French",French,Old French,apart,3
,,,applauded,3
,,,apples,3
French,French,,area,3
,,,arm-chair,3
,,,arose,3
French,French,,assent,3
,,,astonished,3
,,,attached,3
,,,attacked,3
,,,attended,3
"French,Old French",French,Old French,attentive,3
,,,awoke,3
,,,ayres,3
,,,baggot,3
,,,balanced,3
French,French,,bare,3
,,,becoming,3
"Old French,French",Old French,French,beef,3
French,French,,bench,3
,,,bidding,3
"Norse,Latin,Greek,Old French,French,German,Sanskrit,Old Norse",Norse,Latin,bill,3
,,,bills,3
"French,Old French",French,Old French,biscuit,3
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,bitter,3
,,,blushing,3
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,board,3
"French,Old French",French,Old French,bohemian,3
,,,boose,3
,,,borne,3
,,,bravely,3
French,French,,bridal,3
"Old French,French,Greek",Old French,French,brief,3
,,,bringing,3
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,broad,3
"English,Germanic,German,Old Norse,Old French,French,Old English,Latin,Greek,Norse,Sanskrit,American English",English,Germanic,brow,3
,,,browning,3
,,,buenos,3
,,,building,3
,,,burned,3
,,,bye,3
,,,c,3
"French,Old French,Sanskrit,Greek,Latin",French,Old French,cabin,3
,,,cambridge,3
,,,candlesticks,3
,,,canvasser,3
,,,capel,3
"French,Old French",French,Old French,cardinal,3
,,,carry,3
,,,catapult,3
French,French,,cathedra,3
"French,Old French,Greek",French,Old French,cause,3
,,,cautiously,3
"French,Old French,Old Norse,Norse,Sanskrit,Greek,Latin",French,Old French,chain,3
,,,changes,3
,,,check,3
,,,chill,3
"French,Old French",French,Old French,choir,3
"Old French,French,Greek",Old French,French,chorus,3
,,,christian,3
,,,circulated,3
"French,Old French,Latin,Greek",French,Old French,class,3
"Latin,French,Greek,Old French",Latin,French,clatter,3
,,,clients,3
,,,closing,3
"Norse,Old French,French,Greek,Sanskrit,Latin",Norse,Old French,cloth,3
"Germanic,Old Norse,Norse,Old French,French,German,Greek,Sanskrit,Latin",Germanic,Old Norse,coal,3
,,,colgan,3
French,French,,comic,3
,,,commission,3
"Old French,French",Old French,French,common,3
"French,Old French",French,Old French,complexion,3
"French,Greek,Old French",French,Greek,congregation,3
,,,consented,3
,,,considered,3
,,,constant,3
,,,containing,3
French,French,,content,3
French,French,,contralto,3
,,,copied,3
,,,cork,3
,,,corless,3
"French,Old French",French,Old French,coroner,3
French,French,,cost,3
,,,cousins,3
,,,crammed,3
French,French,,crest,3
,,,crosbie,3
,,,crowds,3
"French,Greek,Old French,Sanskrit,Latin",French,Greek,crown,3
,,,cuffs,3
"French,Old French",French,Old French,culture,3
,,,curates,3
,,,curled,3
,,,cursed,3
"French,Greek,Old French,Latin",French,Greek,curtain,3
,,,curtains,3
,,,curtly,3
,,,cycling-suit,3
"French,Old French,Latin,Greek",French,Old French,dame,3
,,,damp,3
,,,dan,3
French,French,,decline,3
"French,Old French",French,Old French,delight,3
,,,delighted,3
,,,denied,3
,,,determined,3
,,,dicky,3
"French,Old French",French,Old French,difference,3
"French,Old French",French,Old French,difficult,3
,,,disappointment,3
,,,disclosed,3
"French,Old French,Greek",French,Old French,discreet,3
"French,Old French,Greek",French,Old French,discussion,3
,,,distillery,3
,,,dowling,3
,,,downes,3
French,French,,draught,3
,,,drawing,3
,,,dresses,3
"Latin,Norse,Old French,French,Greek,Sanskrit",Latin,Norse,drop,3
,,,drops,3
French,French,,drunkard,3
"Norse,Greek,Old French,Old Norse,French,Sanskrit,Latin",Norse,Greek,dry,3
,,,dubiously,3
,,,duggan,3
,,,dummy,3
,,,dust,3
,,,dusty,3
,,,eagerly,3
,,,echoed,3
,,,edward,3
"French,Old French,Latin,Greek",French,Old French,effect,3
,,,elbow,3
"French,Old French",French,Old French,emotion,3
,,,emphatically,3
French,French,,encouragement,3
,,,engaged,3
,,,englishman,3
French,French,,erect,3
,,,evenings,3
,,,evidence,3
,,,ex,3
"French,Old French,Greek",French,Old French,exchange,3
,,,excitedly,3
,,,experience,3
French,French,,fail,3
French,French,,fairly,3
"French,Old French",French,Old French,familiar,3
,,,familiarly,3
French,French,,fare,3
"French,Old French",French,Old French,farewell,3
"German,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Old Norse,fast,3
,,,favour,3
,,,feared,3
,,,fearing,3
"French,Old French",French,Old French,feeble,3
,,,fewer,3
,,,fighting,3
French,French,,finding,3
"French,Old French",French,Old French,firm,3
,,,fit,3
,,,fixedly,3
French,French,,fleet,3
,,,flicked,3
,,,flowers,3
,,,flushed,3
,,,footpath,3
,,,forgot,3
,,,fork,3
,,,forks,3
,,,formed,3
"Sanskrit,Old Norse,Old French,French,Latin,Greek,Norse",Sanskrit,Old Norse,forth,3
"French,Old French,Greek",French,Old French,frail,3
"Old French,French",Old French,French,frame,3
,,,frankly,3
"German,Norse,Old French,French,Greek,Sanskrit,Latin,Old Norse,English,Germanic",German,Norse,fresh,3
French,French,,fright,3
"French,Latin,Old French,Sanskrit,Greek",French,Latin,fur,3
"French,Greek,Old French,Latin",French,Greek,furnace,3
French,French,,gaiety,3
,,,gained,3
,,,gallantly,3
,,,games,3
,,,gardens,3
,,,gate,3
"Greek,Old French,French,Latin,Sanskrit",Greek,Old French,gather,3
"Old French,French,Greek",Old French,French,gaunt,3
"French,Old French",French,Old French,generous,3
,,,gently,3
French,French,,genuine,3
,,,glasgow,3
"Old French,French",Old French,French,glimpse,3
,,,gloom,3
,,,gloomy,3
,,,glowed,3
,,,glynn,3
"Greek,Old French,French",Greek,Old French,golden,3
French,French,,goodness,3
,,,graceful,3
,,,graces,3
"French,Old French",French,Old French,grandmother,3
"Old French,French",Old French,French,grate,3
,,,greater,3
,,,grimes,3
"French,Greek,Old French",French,Greek,group,3
,,,groups,3
French,French,,guard,3
"Old Norse,Norse,Germanic,Sanskrit,Old French,French,Greek,Latin,German",Old Norse,Norse,guest,3
"French,Greek,Old French",French,Greek,hail,3
French,French,,halfpenny,3
"Old Norse,Norse,Old French,French,Greek,Sanskrit,Latin",Old Norse,Norse,hallow,3
,,,hallstand,3
"Old French,French",Old French,French,handle,3
,,,handsome,3
,,,hanging,3
,,,heads,3
French,French,,helpless,3
,,,hendrick,3
,,,hm,3
,,,hob,3
"Germanic,Greek,German,Old French,French,Sanskrit,Latin,Old Norse,Norse",Germanic,Greek,holy,3
"French,Old French",French,Old French,hospitable,3
"French,Old French",French,Old French,hospital,3
,,,host,3
"French,Old French",French,Old French,humanity,3
French,French,,ignorant,3
,,,illumined,3
"French,Old French",French,Old French,immense,3
,,,immoral,3
,,,indian,3
French,French,,indignant,3
French,French,,indistinct,3
French,French,,infallibility,3
"Old French,French",Old French,French,inner,3
,,,intended,3
"French,Old French",French,Old French,intercourse,3
,,,intervals,3
,,,intervened,3
,,,interview,3
,,,introduced,3
,,,irritated,3
"French,Old French,Greek",French,Old French,isle,3
,,,italian,3
,,,item,3
,,,items,3
"Greek,Old French,French,Latin",Greek,Old French,ivy,3
,,,jesus,3
,,,joking,3
"French,Sanskrit,Latin,Greek,Old French",French,Sanskrit,jolly,3
French,French,,keen,3
French,French,,keenly,3
,,,keeping,3
,,,knives,3
,,,knocked,3
,,,labourers,3
"Old French,French",Old French,French,lack,3
"Old French,French",Old French,French,lad,3
,,,latest,3
"Latin,Old French,Sanskrit,Greek,French",Latin,Old French,law,3
,,,leading,3
"Norse,Old French,French,Greek,Sanskrit,Latin",Norse,Old French,learn,3
"Greek,French,Old French",Greek,French,lend,3
,,,lent,3
"Greek,Norse,Old French,French,Sanskrit,Latin",Greek,Norse,lie,3
"French,Greek,Old French",French,Greek,likely,3
,,,lives,3
,,,looks,3
"English,American English,Germanic,Greek,German,Old French,Old English,French,Sanskrit,Latin,Old Norse,Norse",English,American English,lose,3
"Old French,French",Old French,French,loss,3
"Greek,German,Old French,French,Sanskrit,Latin,Old Norse,Norse",Greek,German,lot,3
,,,lots,3
French,French,,lover,3
,,,lytton,3
,,,machale,3
"French,Sanskrit,Old French,Old Norse,Norse,Greek,Latin",French,Sanskrit,machine,3
"Old French,French",Old French,French,main,3
"French,Old French",French,Old French,matron,3
,,,matters,3
"French,Old French,Latin,Greek",French,Old French,measure,3
"American English,Germanic,Sanskrit,Norse,Old French,Old English,French,English,Latin,Greek,German,Old Norse",American English,Germanic,meat,3
"Greek,Sanskrit,French,Latin,Old French",Greek,Sanskrit,member,3
,,,members,3
"French,Old French",French,Old French,mercy,3
,,,merely,3
,,,misses,3
,,,mixed,3
"French,Old French",French,Old French,modest,3
French,French,,molly,3
French,French,,motor,3
"Old French,French",Old French,French,motto,3
French,French,,move,3
"French,Old French",French,Old French,movement,3
,,,murmuring,3
,,,music-hall,3
French,French,,national,3
French,French,,natural,3
"French,Old French",French,Old French,necessary,3
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse,English,Germanic,American English",Latin,German,need,3
,,,nerves,3
,,,newspapers,3
"Old French,Greek,French",Old French,Greek,nod,3
,,,nodding,3
,,,noiselessly,3
,,,nosey,3
,,,nostrils,3
,,,o'connell,3
,,,o'neill,3
,,,observing,3
"French,Norse,Old French,Greek,Latin,Sanskrit",French,Norse,odd,3
,,,oh,3
"Old French,French",Old French,French,old-fashioned,3
"French,Old Norse,Old French,Norse,Germanic,Latin,Sanskrit,German,Greek",French,Old Norse,orange,3
"French,Old French",French,Old French,ordinary,3
French,French,,ought,3
"French,Old French",French,Old French,oval,3
,,,paddy,3
"French,Latin,Old French,Greek,Sanskrit,Norse",French,Latin,pallor,3
"Old French,Greek,Norse,Sanskrit,French,Latin",Old French,Greek,palm,3
,,,panels,3
"French,Latin,Greek,Old French",French,Latin,parade,3
,,,partly,3
,,,patches,3
,,,peered,3
,,,peering,3
French,French,,perfume,3
"German,Old French,Greek,Old Norse,Latin,French,Norse,Sanskrit",German,Old French,pick,3
"French,Old French,Greek",French,Old French,pigeon,3
"Old French,French",Old French,French,pile,3
"French,Old French",French,Old French,pillar,3
,,,pillows,3
"French,Old French",French,Old French,pipe,3
,,,placing,3
,,,plainly,3
,,,pleasantly,3
,,,pleased,3
"Old French,French",Old French,French,plot,3
"French,Greek,Old French,Latin,Norse,Sanskrit",French,Greek,poet,3
,,,points,3
,,,pok,3
"French,Old French,Greek",French,Old French,polish,3
"French,Old French",French,Old French,polite,3
French,French,,post,3
,,,pounds,3
,,,praised,3
,,,prayer-book,3
"French,Old French,Latin,Greek",French,Old French,preacher,3
"French,Old French,Greek",French,Old French,prelude,3
,,,presented,3
,,,pretended,3
French,French,,priesthood,3
,,,probably,3
,,,produced,3
,,,prolonged,3
"French,Old French",French,Old French,promise,3
"French,Old French",French,Old French,protest,3
,,,protestants,3
,,,public,3
,,,purple,3
,,,qualities,3
,,,quarters,3
"Sanskrit,Norse,Latin,Old French,French,Greek,Old Norse",Sanskrit,Norse,queen,3
,,,queer,3
French,French,,quotation,3
"French,Old French,Greek,Latin",French,Old French,rage,3
French,French,,rainy,3
,,,reach,3
,,,recall,3
"French,Old French",French,Old French,recite,3
French,French,,refreshment,3
,,,regarding,3
French,French,,regret,3
,,,relieved,3
,,,remind,3
,,,reminded,3
"French,Old French",French,Old French,remote,3
,,,repeating,3
,,,resigned,3
French,French,,result,3
,,,revery,3
,,,revolted,3
"Old French,French",Old French,French,rhythm,3
French,French,,ridiculous,3
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,rise,3
,,,risen,3
,,,roadway,3
,,,rolled,3
"French,Old French",French,Old French,roman,3
"French,Old Norse,Sanskrit,Greek,Norse,Latin,German,Old French",French,Old Norse,ruffian,3
"French,Old French",French,Old French,rule,3
"Norse,Greek,French,Old French,Old Norse,Latin,Sanskrit",Norse,Greek,rum,3
,,,runs,3
French,French,,sacred,3
,,,sadly,3
"French,Old French",French,Old French,satisfaction,3
,,,satisfied,3
,,,scarcely,3
,,,scott,3
"Old French,French,Norse,Sanskrit,Latin,Greek",Old French,French,screen,3
"Germanic,Old Norse,German,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,Old Norse,sea,3
"French,Old French,Latin,Greek",French,Old French,search,3
,,,seated,3
,,,secretaries,3
"French,Old French,Greek,Latin",French,Old French,seize,3
"French,Old French",French,Old French,sensible,3
,,,sentences,3
,,,seventeen,3
,,,sha,3
"Latin,French,Greek,Old French",Latin,French,shabby,3
